uuid,playlist_name,playlist_description,last_updated,sharing_level,track_title,artist_name,album_title,date_added
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Chop Suey!,System Of A Down,Toxicity,2023-01-11 16:13:53.344151+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Toxicity,System Of A Down,Toxicity,2023-01-11 16:13:57.511699+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Lonely Day,System Of A Down,Hypnotize,2023-01-11 16:14:14.329155+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Aerials,System Of A Down,Toxicity,2023-01-11 16:14:01.854484+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,B.Y.O.B.,System Of A Down,Mezmerize,2023-01-11 16:14:05.620541+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Question!,System Of A Down,Mezmerize,2023-01-11 16:14:22.994976+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Last Resort,Papa Roach,Infest,2023-01-11 16:15:23.895393+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Bodies,Drowning Pool,Sinner,2024-01-04 05:55:49.517704+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,The Emptiness Machine,Linkin Park,From Zero,2024-11-17 18:37:53.584019+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Heavy Is the Crown,Linkin Park,From Zero,2024-11-17 18:37:59.571110+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Overflow,Linkin Park,From Zero,2024-11-17 18:44:23.392966+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Clenching The Fists Of Dissent,Machine Head,The Blackening,2023-01-14 07:00:34.218339+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Last Resort,Papa Roach,Infest,2024-01-15 06:29:06.654445+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Infest,Papa Roach,Infest,2024-01-15 06:29:03.508446+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Revenge,Papa Roach,Infest,2024-01-15 06:29:23.852189+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Broken Home,Papa Roach,Infest,2024-01-15 06:29:10.325922+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Walking Thru Barbed Wire,Papa Roach,lovehatetragedy,2024-01-15 06:30:57.488647+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Snakes,Papa Roach,Infest,2024-01-15 06:29:26.502143+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Dead Cell,Papa Roach,Infest,2024-01-15 06:29:13.245951+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Between Angels And Insects,Papa Roach,Infest,2024-01-15 06:29:16.174962+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Blood Brothers,Papa Roach,Infest,2024-01-15 06:29:19.294767+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,M-80 (Explosive Energy Movement),Papa Roach,lovehatetragedy,2024-01-15 06:30:07.602937+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Code Of Energy,Papa Roach,lovehatetragedy,2024-01-15 06:31:30.822206+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Binge,Papa Roach,Infest,2024-01-15 06:29:38.110333+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,lovehatetragedy,Papa Roach,lovehatetragedy,2024-01-15 06:31:49.735936+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Never Enough,Papa Roach,Infest,2024-01-15 06:29:34.484400+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Life Is A Bullet,Papa Roach,lovehatetragedy,2024-01-15 06:30:10.261169+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Thrown Away/Tight Rope,Papa Roach,Infest,2024-01-15 06:29:43.286301+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Singular Indestructible Droid,Papa Roach,lovehatetragedy,2024-01-15 06:31:15.024214+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Blood,Papa Roach,Getting Away With Murder (Expanded Edition),2024-01-15 06:32:09.736407+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Black Clouds,Papa Roach,lovehatetragedy,2024-01-15 06:31:26.016447+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Take Me,Papa Roach,Getting Away With Murder (Expanded Edition),2024-01-15 06:32:28.083596+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Stop Looking,Papa Roach,Getting Away With Murder (Expanded Edition),2024-01-15 06:32:23.487898+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Time And Time Again,Papa Roach,lovehatetragedy,2024-01-15 06:30:53.842186+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,She Loves Me Not,Papa Roach,lovehatetragedy,2024-01-15 06:31:11.031558+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Decompression Period,Papa Roach,lovehatetragedy,2024-01-15 06:31:02.034502+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,"Born With Nothing, Die With Everything",Papa Roach,lovehatetragedy,2024-01-15 06:31:07.061073+00:00
004bfd09-7d9f-4d5a-9da0-6aa9444ccdc3,Nu Metal,,2025-02-03 20:42:35.486814+00:00,PRIVATE,Not Listening,Papa Roach,Getting Away With Murder (Expanded Edition),2024-01-15 06:32:13.440906+00:00
